From Date,To Date,Ozone,CO,SO2,NO2,PM10,PM2.5,State,City,Station,AQI,AQI_Category
06-09-2021 00:00,07-09-2021 00:00,18.16,0.52,14.31,9.22,10.09,4.36,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",26.0,Good
07-09-2021 00:00,08-09-2021 00:00,21.35,0.47,16.06,7.72,13.62,5.04,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",23.5,Good
08-09-2021 00:00,09-09-2021 00:00,24.03,0.52,9.81,10.22,23.22,7.88,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",26.0,Good
09-09-2021 00:00,10-09-2021 00:00,22.26,0.44,8.97,7.76,20.64,4.55,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",22.26,Good
10-09-2021 00:00,11-09-2021 00:00,18.65,0.49,10.07,8.97,31.96,8.48,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",31.96,Good
11-09-2021 00:00,12-09-2021 00:00,14.8,0.34,9.57,9.34,29.52,10.53,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",29.52,Good
12-09-2021 00:00,13-09-2021 00:00,18.66,0.47,9.97,8.21,23.13,7.46,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",23.5,Good
13-09-2021 00:00,14-09-2021 00:00,20.54,0.48,11.17,9.05,17.08,4.97,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",24.0,Good
14-09-2021 00:00,15-09-2021 00:00,22.37,0.47,13.88,9.58,28.18,8.8,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",28.18,Good
15-09-2021 00:00,16-09-2021 00:00,23.48,0.5,12.66,9.57,48.23,12.07,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",48.23,Good
16-09-2021 00:00,17-09-2021 00:00,26.15,0.55,16.03,13.55,62.87,16.86,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",62.87,Satisfactory
17-09-2021 00:00,18-09-2021 00:00,28.12,0.58,12.18,11.85,74.37,21.09,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",74.37,Satisfactory
18-09-2021 00:00,19-09-2021 00:00,37.88,0.52,12.61,9.92,52.65,18.91,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",52.65,Satisfactory
19-09-2021 00:00,20-09-2021 00:00,32.51,0.47,10.52,9.42,32.64,13.84,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",32.64,Good
20-09-2021 00:00,21-09-2021 00:00,31.36,0.36,11.16,9.62,24.84,11.68,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",31.36,Good
21-09-2021 00:00,22-09-2021 00:00,29.96,0.3,13.18,9.94,14.34,5.58,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",29.96,Good
22-09-2021 00:00,23-09-2021 00:00,28.95,0.46,10.57,10.49,13.35,5.07,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",28.95,Good
23-09-2021 00:00,24-09-2021 00:00,19.12,0.34,11.47,9.74,16.96,6.33,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",19.12,Good
24-09-2021 00:00,25-09-2021 00:00,,,,,,,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",500.0,Severe
25-09-2021 00:00,26-09-2021 00:00,,,,,,,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",500.0,Severe
26-09-2021 00:00,27-09-2021 00:00,,,,,,,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",500.0,Severe
27-09-2021 00:00,28-09-2021 00:00,22.08,0.17,20.44,8.17,16.58,7.88,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",25.55,Good
28-09-2021 00:00,29-09-2021 00:00,19.72,0.44,16.65,11.2,24.08,9.56,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",24.08,Good
29-09-2021 00:00,30-09-2021 00:00,22.98,0.48,11.24,9.7,29.77,10.33,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",29.77,Good
30-09-2021 00:00,01-10-2021 00:00,18.11,0.67,12.42,11.04,26.41,11.74,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",33.5,Good
01-10-2021 00:00,02-10-2021 00:00,18.98,0.48,12.52,8.1,29.44,11.7,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",29.44,Good
02-10-2021 00:00,03-10-2021 00:00,16.36,0.42,12.98,5.21,13.13,2.51,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",21.0,Good
03-10-2021 00:00,04-10-2021 00:00,12.77,0.46,10.36,4.56,11.36,2.04,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",23.0,Good
04-10-2021 00:00,05-10-2021 00:00,17.16,0.43,12.11,8.05,16.68,5.17,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",21.5,Good
05-10-2021 00:00,06-10-2021 00:00,12.26,0.44,9.89,8.53,22.14,5.73,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",22.14,Good
06-10-2021 00:00,07-10-2021 00:00,10.42,0.48,15.69,7.66,15.0,2.87,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",24.0,Good
07-10-2021 00:00,08-10-2021 00:00,15.05,0.47,16.55,7.78,63.12,8.41,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",63.12,Satisfactory
08-10-2021 00:00,09-10-2021 00:00,23.87,0.57,15.93,8.86,33.39,18.7,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",33.39,Good
09-10-2021 00:00,10-10-2021 00:00,35.32,0.51,12.25,9.68,21.07,12.07,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",35.32,Good
10-10-2021 00:00,11-10-2021 00:00,38.58,0.54,17.41,10.88,64.25,28.95,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",64.25,Satisfactory
11-10-2021 00:00,12-10-2021 00:00,33.4,0.69,18.46,14.05,95.09,40.53,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",95.09,Satisfactory
12-10-2021 00:00,13-10-2021 00:00,45.6,0.63,15.85,10.52,93.43,39.87,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",93.43,Satisfactory
13-10-2021 00:00,14-10-2021 00:00,42.42,0.65,11.69,8.73,125.1,52.56,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",116.73333333333332,Moderate
14-10-2021 00:00,15-10-2021 00:00,41.64,0.69,18.5,13.16,104.3,51.46,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",102.86666666666666,Moderate
15-10-2021 00:00,16-10-2021 00:00,41.96,0.64,14.89,9.82,64.2,42.03,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",70.05000000000001,Satisfactory
16-10-2021 00:00,17-10-2021 00:00,40.59,0.61,12.07,7.19,58.37,38.96,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",64.93333333333334,Satisfactory
17-10-2021 00:00,18-10-2021 00:00,28.4,0.45,13.67,6.94,29.51,14.72,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",29.51,Good
18-10-2021 00:00,19-10-2021 00:00,42.73,0.66,11.81,11.11,65.28,29.62,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",65.28,Satisfactory
19-10-2021 00:00,20-10-2021 00:00,42.16,0.75,13.06,10.68,92.0,46.6,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",92.0,Satisfactory
20-10-2021 00:00,21-10-2021 00:00,37.25,0.73,17.69,15.05,99.07,47.34,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",99.07,Satisfactory
